Numero;Primo;Tiempo(ms)
432;431;0
654;653;1
654376;654371;0
11;11;0
3435;3433;0
9223372036854775808;9223372036854775783;0
9111111111111111111;9111111111111111103;0
945792854692873029112;945792854692873029077;1
9574694867948257983798;9574694867948257983763;0
954785647832110000000;954785647832109999989;0
950000000000000000000;949999999999999999969;1
932222222222222222222;932222222222222222197;0
